time,open,high,low,close,volume
2023-08-22 15:40:00,1854.19,1854.22,1853.994,1854.026,0.0
2023-08-22 15:45:00,1854.001,1854.001,1853.6,1853.689,0.0
2023-08-22 15:50:00,1853.709,1853.819,1852.076,1852.112,0.0
2023-08-22 15:55:00,1852.117,1852.306,1851.982,1852.271,0.0
2023-08-22 16:00:00,1852.276,1852.496,1851.991,1852.103,0.0
2023-08-22 16:05:00,1852.125,1852.257,1851.42,1851.42,0.0
2023-08-22 16:10:00,1851.406,1851.406,1849.047,1849.047,0.0
2023-08-22 16:15:00,1849.0,1849.033,1848.125,1848.471,0.0
2023-08-22 16:20:00,1848.462,1848.468,1848.049,1848.289,0.0
2023-08-22 16:25:00,1848.301,1849.191,1848.167,1849.191,0.0
2023-08-22 16:30:00,1849.213,1849.678,1848.889,1848.889,0.0
2023-08-22 16:35:00,1848.888,1849.82,1848.56,1849.812,0.0
2023-08-22 16:40:00,1849.811,1850.617,1849.811,1850.617,0.0
2023-08-22 16:45:00,1850.595,1850.957,1850.522,1850.522,0.0
2023-08-22 16:50:00,1850.531,1851.308,1850.464,1851.166,0.0
2023-08-22 16:55:00,1851.196,1851.579,1850.793,1850.793,0.0
2023-08-22 17:00:00,1850.777,1850.777,1849.092,1849.092,0.0
2023-08-22 17:05:00,1849.065,1849.065,1848.504,1848.849,0.0
2023-08-22 17:10:00,1848.856,1849.106,1847.962,1847.962,0.0
2023-08-22 17:15:00,1847.933,1847.933,1847.267,1847.48,0.0
2023-08-22 17:20:00,1847.474,1848.077,1847.474,1848.076,0.0
2023-08-22 17:25:00,1848.088,1848.748,1848.061,1848.733,0.0
2023-08-22 17:30:00,1848.754,1849.276,1848.754,1849.276,0.0
2023-08-22 17:35:00,1849.286,1849.496,1848.956,1848.972,0.0
2023-08-22 17:40:00,1848.931,1848.931,1848.442,1848.45,0.0
2023-08-22 17:45:00,1848.45,1848.609,1848.204,1848.429,0.0
2023-08-22 17:50:00,1848.415,1848.479,1848.158,1848.368,0.0
2023-08-22 17:55:00,1848.336,1849.029,1848.288,1849.029,0.0
2023-08-22 18:00:00,1849.031,1849.836,1848.506,1849.723,0.0
2023-08-22 18:05:00,1849.729,1850.403,1849.67,1850.403,0.0
2023-08-22 18:10:00,1850.42,1850.625,1849.843,1849.973,0.0
2023-08-22 18:15:00,1849.985,1850.522,1849.985,1850.24,0.0
2023-08-22 18:20:00,1850.236,1850.802,1850.159,1850.802,0.0
2023-08-22 18:25:00,1850.796,1852.138,1850.796,1852.138,0.0
2023-08-22 18:30:00,1852.159,1853.08,1852.159,1853.063,0.0
2023-08-22 18:35:00,1853.037,1853.28,1852.995,1853.099,0.0
2023-08-22 18:40:00,1853.126,1853.155,1852.135,1852.173,0.0
2023-08-22 18:45:00,1852.17,1852.193,1851.666,1851.93,0.0
2023-08-22 18:50:00,1851.95,1851.983,1851.8,1851.855,0.0
2023-08-22 18:55:00,1851.856,1852.862,1851.83,1852.862,0.0
2023-08-22 19:00:00,1852.875,1853.668,1852.875,1853.661,0.0
2023-08-22 19:05:00,1853.66,1855.038,1853.66,1855.038,0.0
2023-08-22 19:10:00,1855.054,1856.327,1855.054,1856.327,0.0
2023-08-22 19:15:00,1856.34,1856.456,1855.895,1855.895,0.0
2023-08-22 19:20:00,1855.873,1855.875,1855.034,1855.156,0.0
2023-08-22 19:25:00,1855.151,1855.584,1854.652,1854.683,0.0
2023-08-22 19:30:00,1854.678,1854.752,1853.115,1853.201,0.0
2023-08-22 19:35:00,1853.208,1853.23,1852.383,1852.383,0.0
2023-08-22 19:40:00,1852.361,1852.372,1851.819,1851.819,0.0
2023-08-22 19:45:00,1851.749,1851.981,1850.789,1850.789,0.0
2023-08-22 19:50:00,1850.786,1851.193,1850.51,1850.641,0.0
2023-08-22 19:55:00,1850.632,1852.365,1850.632,1851.242,0.0
2023-08-23 13:30:00,1851.864,1852.544,1849.831,1850.021,0.0
2023-08-23 13:35:00,1849.975,1852.485,1849.975,1851.848,0.0
2023-08-23 13:40:00,1851.841,1853.387,1851.841,1852.823,0.0
2023-08-23 13:45:00,1852.866,1855.192,1852.866,1855.097,0.0
2023-08-23 13:50:00,1855.059,1855.807,1853.553,1853.671,0.0
2023-08-23 13:55:00,1853.665,1855.918,1853.665,1855.782,0.0
2023-08-23 14:00:00,1855.803,1857.758,1855.803,1857.758,0.0
2023-08-23 14:05:00,1857.793,1859.675,1857.793,1859.675,0.0
2023-08-23 14:10:00,1859.71,1861.027,1859.697,1860.761,0.0
2023-08-23 14:15:00,1860.753,1860.753,1859.451,1859.731,0.0
2023-08-23 14:20:00,1859.806,1860.459,1859.381,1860.459,0.0
2023-08-23 14:25:00,1860.489,1860.855,1859.327,1859.547,0.0
2023-08-23 14:30:00,1859.584,1860.149,1859.584,1859.656,0.0
2023-08-23 14:35:00,1859.694,1859.699,1858.481,1858.695,0.0
2023-08-23 14:40:00,1858.695,1860.593,1858.695,1860.55,0.0
2023-08-23 14:45:00,1860.57,1861.261,1860.113,1861.24,0.0
2023-08-23 14:50:00,1861.24,1862.004,1861.179,1861.9,0.0
2023-08-23 14:55:00,1861.884,1862.993,1861.786,1862.976,0.0
2023-08-23 15:00:00,1862.991,1863.337,1862.855,1862.959,0.0
2023-08-23 15:05:00,1862.988,1863.762,1862.988,1863.354,0.0
2023-08-23 15:10:00,1863.347,1864.476,1863.232,1864.476,0.0
2023-08-23 15:15:00,1864.515,1864.752,1864.515,1864.543,0.0
2023-08-23 15:20:00,1864.597,1866.195,1864.597,1866.195,0.0
2023-08-23 15:25:00,1866.198,1867.379,1866.198,1867.264,0.0
2023-08-23 15:30:00,1867.211,1867.768,1867.111,1867.684,0.0
2023-08-23 15:35:00,1867.704,1868.482,1867.497,1868.482,0.0
2023-08-23 15:40:00,1868.587,1868.828,1868.224,1868.322,0.0
2023-08-23 15:45:00,1868.327,1868.654,1868.325,1868.523,0.0
2023-08-23 15:50:00,1868.506,1868.875,1868.422,1868.835,0.0
2023-08-23 15:55:00,1868.814,1868.876,1868.644,1868.858,0.0
2023-08-23 16:00:00,1868.853,1868.867,1868.099,1868.201,0.0
2023-08-23 16:05:00,1868.222,1868.436,1868.154,1868.418,0.0
2023-08-23 16:10:00,1868.419,1869.293,1868.419,1869.293,0.0
2023-08-23 16:15:00,1869.296,1869.764,1869.295,1869.754,0.0
2023-08-23 16:20:00,1869.732,1869.732,1869.207,1869.297,0.0
2023-08-23 16:25:00,1869.315,1869.468,1869.103,1869.468,0.0
2023-08-23 16:30:00,1869.482,1869.722,1869.404,1869.72,0.0
2023-08-23 16:35:00,1869.72,1870.041,1869.712,1870.041,0.0
2023-08-23 16:40:00,1870.067,1870.194,1869.981,1870.101,0.0
2023-08-23 16:45:00,1870.118,1870.783,1870.095,1870.777,0.0
2023-08-23 16:50:00,1870.794,1871.364,1870.794,1870.949,0.0
2023-08-23 16:55:00,1870.945,1870.945,1870.118,1870.118,0.0
2023-08-23 17:00:00,1870.134,1870.135,1869.848,1870.026,0.0
2023-08-23 17:05:00,1870.053,1870.681,1870.049,1870.616,0.0
2023-08-23 17:10:00,1870.626,1870.932,1870.626,1870.917,0.0
2023-08-23 17:15:00,1870.911,1871.907,1870.899,1871.9,0.0
2023-08-23 17:20:00,1871.903,1872.196,1871.903,1872.196,0.0
2023-08-23 17:25:00,1872.212,1872.751,1872.196,1872.751,0.0
2023-08-23 17:30:00,1872.762,1873.292,1872.762,1872.826,0.0
2023-08-23 17:35:00,1872.813,1872.816,1872.467,1872.504,0.0
2023-08-23 17:40:00,1872.49,1872.583,1872.476,1872.565,0.0
2023-08-23 17:45:00,1872.547,1873.074,1872.542,1873.074,0.0
2023-08-23 17:50:00,1873.089,1873.475,1873.089,1873.231,0.0
2023-08-23 17:55:00,1873.212,1873.218,1873.001,1873.07,0.0
2023-08-23 18:00:00,1873.067,1873.067,1872.922,1872.958,0.0
2023-08-23 18:05:00,1872.925,1872.925,1872.754,1872.805,0.0
2023-08-23 18:10:00,1872.806,1872.893,1872.406,1872.447,0.0
