symbol,time,open,high,low,close,volume
IC MARKETS:10012,2023-08-15 20:40:00,1898.13,1898.13,1897.88,1898.08,48.0
IC MARKETS:10012,2023-08-15 20:45:00,1898.18,1898.28,1897.78,1898.03,92.0
IC MARKETS:10012,2023-08-15 20:50:00,1898.08,1898.38,1897.93,1897.98,70.0
IC MARKETS:10012,2023-08-15 20:55:00,1897.93,1898.08,1897.28,1897.33,120.0
IC MARKETS:10012,2023-08-15 22:00:00,1897.78,1898.43,1897.43,1897.58,184.0
IC MARKETS:10012,2023-08-15 22:05:00,1897.53,1897.63,1897.03,1897.23,104.0
IC MARKETS:10012,2023-08-15 22:10:00,1897.28,1898.53,1897.28,1898.53,94.0
IC MARKETS:10012,2023-08-15 22:15:00,1898.43,1898.43,1897.98,1898.13,74.0
IC MARKETS:10012,2023-08-15 22:20:00,1898.23,1898.23,1897.48,1897.68,94.0
IC MARKETS:10012,2023-08-15 22:25:00,1897.73,1897.83,1897.33,1897.43,94.0
IC MARKETS:10012,2023-08-15 22:30:00,1897.58,1897.98,1897.43,1897.53,76.0
IC MARKETS:10012,2023-08-15 22:35:00,1897.58,1897.78,1896.83,1897.43,132.0
IC MARKETS:10012,2023-08-15 22:40:00,1897.53,1897.78,1897.23,1897.33,46.0
IC MARKETS:10012,2023-08-15 22:45:00,1897.28,1897.68,1897.28,1897.63,64.0
IC MARKETS:10012,2023-08-15 22:50:00,1897.58,1897.73,1897.43,1897.73,36.0
IC MARKETS:10012,2023-08-15 22:55:00,1897.83,1898.08,1897.78,1898.03,52.0
IC MARKETS:10012,2023-08-15 23:00:00,1897.98,1898.28,1897.83,1898.28,72.0
IC MARKETS:10012,2023-08-15 23:05:00,1898.33,1898.33,1897.93,1897.93,34.0
IC MARKETS:10012,2023-08-15 23:10:00,1898.03,1898.28,1897.93,1898.23,46.0
IC MARKETS:10012,2023-08-15 23:15:00,1898.28,1898.43,1898.23,1898.33,78.0
IC MARKETS:10012,2023-08-15 23:20:00,1898.38,1898.63,1898.18,1898.53,72.0
IC MARKETS:10012,2023-08-15 23:25:00,1898.58,1898.78,1898.53,1898.63,60.0
IC MARKETS:10012,2023-08-15 23:30:00,1898.68,1899.03,1898.63,1898.88,96.0
IC MARKETS:10012,2023-08-15 23:35:00,1898.93,1899.28,1898.83,1899.23,104.0
IC MARKETS:10012,2023-08-15 23:40:00,1899.28,1899.48,1898.78,1898.78,96.0
IC MARKETS:10012,2023-08-15 23:45:00,1898.88,1899.23,1898.73,1898.83,84.0
IC MARKETS:10012,2023-08-15 23:50:00,1898.78,1898.88,1898.33,1898.73,94.0
IC MARKETS:10012,2023-08-15 23:55:00,1898.78,1898.98,1898.53,1898.83,74.0
IC MARKETS:10012,2023-08-16 00:00:00,1898.88,1899.13,1897.73,1898.03,330.0
IC MARKETS:10012,2023-08-16 00:05:00,1898.13,1898.48,1897.63,1897.83,164.0
IC MARKETS:10012,2023-08-16 00:10:00,1897.93,1898.38,1897.33,1898.38,122.0
IC MARKETS:10012,2023-08-16 00:15:00,1898.43,1898.83,1898.03,1898.83,148.0
IC MARKETS:10012,2023-08-16 00:20:00,1898.73,1898.93,1898.18,1898.23,142.0
IC MARKETS:10012,2023-08-16 00:25:00,1898.33,1898.53,1897.33,1897.43,168.0
IC MARKETS:10012,2023-08-16 00:30:00,1897.53,1898.23,1896.93,1896.93,222.0
IC MARKETS:10012,2023-08-16 00:35:00,1896.83,1896.83,1896.23,1896.33,184.0
IC MARKETS:10012,2023-08-16 00:40:00,1896.38,1896.38,1893.98,1895.43,390.0
IC MARKETS:10012,2023-08-16 00:45:00,1895.33,1897.18,1895.33,1897.13,242.0
IC MARKETS:10012,2023-08-16 00:50:00,1897.18,1897.58,1896.93,1897.18,176.0
IC MARKETS:10012,2023-08-16 00:55:00,1897.13,1897.73,1896.58,1897.08,198.0
IC MARKETS:10012,2023-08-16 01:00:00,1897.18,1897.68,1897.03,1897.23,178.0
IC MARKETS:10012,2023-08-16 01:05:00,1897.13,1897.48,1896.98,1897.23,144.0
IC MARKETS:10012,2023-08-16 01:10:00,1897.33,1897.73,1896.03,1896.53,194.0
IC MARKETS:10012,2023-08-16 01:15:00,1896.58,1897.23,1895.58,1896.43,326.0
IC MARKETS:10012,2023-08-16 01:20:00,1896.53,1897.78,1896.53,1896.93,262.0
IC MARKETS:10012,2023-08-16 01:25:00,1896.83,1898.18,1896.83,1898.13,166.0
IC MARKETS:10012,2023-08-16 01:30:00,1898.03,1898.93,1897.33,1898.33,478.0
IC MARKETS:10012,2023-08-16 01:35:00,1898.28,1898.53,1897.63,1898.38,380.0
IC MARKETS:10012,2023-08-16 01:40:00,1898.43,1898.88,1897.63,1898.33,322.0
IC MARKETS:10012,2023-08-16 01:45:00,1898.43,1898.73,1897.93,1898.53,280.0
IC MARKETS:10012,2023-08-16 01:50:00,1898.48,1900.08,1898.18,1900.03,318.0
IC MARKETS:10012,2023-08-16 01:55:00,1900.08,1900.08,1898.03,1898.23,242.0
IC MARKETS:10012,2023-08-16 02:00:00,1898.28,1898.73,1897.18,1897.53,366.0
IC MARKETS:10012,2023-08-16 02:05:00,1897.63,1899.33,1897.43,1899.33,330.0
IC MARKETS:10012,2023-08-16 02:10:00,1899.43,1899.73,1898.73,1899.73,248.0
IC MARKETS:10012,2023-08-16 02:15:00,1899.83,1900.18,1899.43,1899.53,252.0
IC MARKETS:10012,2023-08-16 02:20:00,1899.48,1899.53,1899.03,1899.33,228.0
IC MARKETS:10012,2023-08-16 02:25:00,1899.23,1899.78,1899.13,1899.43,132.0
IC MARKETS:10012,2023-08-16 02:30:00,1899.33,1899.73,1898.93,1898.93,158.0
IC MARKETS:10012,2023-08-16 02:35:00,1899.03,1899.23,1898.63,1899.13,156.0
IC MARKETS:10012,2023-08-16 02:40:00,1899.03,1899.28,1898.63,1898.93,152.0
IC MARKETS:10012,2023-08-16 02:45:00,1898.98,1899.58,1898.93,1899.03,140.0
IC MARKETS:10012,2023-08-16 02:50:00,1899.13,1899.53,1898.53,1899.53,132.0
IC MARKETS:10012,2023-08-16 02:55:00,1899.48,1899.48,1898.38,1898.43,106.0
IC MARKETS:10012,2023-08-16 03:00:00,1898.58,1899.43,1898.43,1899.23,176.0
IC MARKETS:10012,2023-08-16 03:05:00,1899.13,1900.13,1899.13,1899.23,178.0
IC MARKETS:10012,2023-08-16 03:10:00,1899.28,1900.28,1899.23,1900.13,206.0
IC MARKETS:10012,2023-08-16 03:15:00,1900.08,1900.23,1899.73,1899.93,118.0
IC MARKETS:10012,2023-08-16 03:20:00,1899.83,1900.08,1899.48,1900.03,98.0
IC MARKETS:10012,2023-08-16 03:25:00,1899.93,1900.03,1899.43,1899.83,124.0
IC MARKETS:10012,2023-08-16 03:30:00,1899.88,1900.08,1899.63,1899.73,130.0
IC MARKETS:10012,2023-08-16 03:35:00,1899.63,1899.98,1899.63,1899.98,122.0
IC MARKETS:10012,2023-08-16 03:40:00,1899.83,1900.03,1899.33,1899.73,116.0
IC MARKETS:10012,2023-08-16 03:45:00,1899.83,1899.93,1899.53,1899.53,98.0
IC MARKETS:10012,2023-08-16 03:50:00,1899.48,1899.73,1899.18,1899.28,136.0
IC MARKETS:10012,2023-08-16 03:55:00,1899.33,1899.58,1899.18,1899.33,148.0
IC MARKETS:10012,2023-08-16 04:00:00,1899.43,1899.48,1899.18,1899.48,70.0
IC MARKETS:10012,2023-08-16 04:05:00,1899.43,1899.53,1897.83,1897.98,130.0
IC MARKETS:10012,2023-08-16 04:10:00,1897.93,1898.78,1897.93,1898.43,152.0
IC MARKETS:10012,2023-08-16 04:15:00,1898.53,1898.73,1898.23,1898.33,68.0
IC MARKETS:10012,2023-08-16 04:20:00,1898.43,1898.53,1898.08,1898.23,78.0
IC MARKETS:10012,2023-08-16 04:25:00,1898.13,1898.43,1897.83,1897.83,114.0
IC MARKETS:10012,2023-08-16 04:30:00,1897.88,1898.38,1897.58,1898.23,166.0
IC MARKETS:10012,2023-08-16 04:35:00,1898.18,1898.33,1897.93,1898.33,58.0
IC MARKETS:10012,2023-08-16 04:40:00,1898.23,1898.33,1898.13,1898.23,54.0
IC MARKETS:10012,2023-08-16 04:45:00,1898.33,1898.33,1898.03,1898.03,90.0
IC MARKETS:10012,2023-08-16 04:50:00,1898.13,1898.63,1898.08,1898.53,92.0
IC MARKETS:10012,2023-08-16 04:55:00,1898.48,1898.58,1898.18,1898.33,96.0
IC MARKETS:10012,2023-08-16 05:00:00,1898.38,1898.98,1898.18,1898.43,220.0
IC MARKETS:10012,2023-08-16 05:05:00,1898.48,1898.73,1898.08,1898.48,166.0
IC MARKETS:10012,2023-08-16 05:10:00,1898.53,1898.93,1898.23,1898.33,194.0
IC MARKETS:10012,2023-08-16 05:15:00,1898.38,1898.63,1897.63,1897.73,126.0
IC MARKETS:10012,2023-08-16 05:20:00,1897.83,1897.88,1897.13,1897.83,152.0
IC MARKETS:10012,2023-08-16 05:25:00,1897.73,1899.03,1897.63,1898.73,118.0
IC MARKETS:10012,2023-08-16 05:30:00,1898.83,1899.13,1898.33,1898.33,186.0
IC MARKETS:10012,2023-08-16 05:35:00,1898.28,1898.43,1897.93,1897.93,204.0
IC MARKETS:10012,2023-08-16 05:40:00,1897.88,1898.23,1897.63,1897.83,178.0
IC MARKETS:10012,2023-08-16 05:45:00,1897.88,1898.38,1897.53,1897.73,206.0
IC MARKETS:10012,2023-08-16 05:50:00,1897.68,1897.68,1896.68,1897.13,184.0
IC MARKETS:10012,2023-08-16 05:55:00,1897.18,1897.83,1897.18,1897.53,218.0
IC MARKETS:10012,2023-08-16 06:00:00,1897.43,1897.93,1895.83,1896.19,482.0
IC MARKETS:10012,2023-08-16 06:05:00,1896.29,1896.79,1895.14,1896.24,358.0
IC MARKETS:10012,2023-08-16 06:10:00,1896.29,1897.39,1896.24,1896.69,296.0
IC MARKETS:10012,2023-08-16 06:15:00,1896.79,1898.89,1896.69,1898.54,296.0
IC MARKETS:10012,2023-08-16 06:20:00,1898.49,1899.19,1898.09,1898.84,232.0
IC MARKETS:10012,2023-08-16 06:25:00,1898.99,1899.29,1898.74,1899.29,276.0
IC MARKETS:10012,2023-08-16 06:30:00,1899.24,1899.54,1898.44,1899.29,228.0
IC MARKETS:10012,2023-08-16 06:35:00,1899.39,1899.49,1898.89,1899.29,200.0
IC MARKETS:10012,2023-08-16 06:40:00,1899.19,1899.44,1898.04,1898.29,204.0
IC MARKETS:10012,2023-08-16 06:45:00,1898.49,1898.84,1898.24,1898.59,222.0
IC MARKETS:10012,2023-08-16 06:50:00,1898.69,1899.09,1898.49,1898.79,106.0
IC MARKETS:10012,2023-08-16 06:55:00,1898.84,1899.44,1898.79,1899.19,214.0
IC MARKETS:10012,2023-08-16 07:00:00,1899.24,1900.54,1898.69,1900.49,506.0
IC MARKETS:10012,2023-08-16 07:05:00,1900.39,1900.69,1899.69,1899.89,448.0
IC MARKETS:10012,2023-08-16 07:10:00,1899.74,1900.19,1898.89,1898.89,342.0
IC MARKETS:10012,2023-08-16 07:15:00,1898.84,1900.99,1898.84,1900.99,396.0
IC MARKETS:10012,2023-08-16 07:20:00,1901.09,1901.49,1900.34,1900.99,332.0
IC MARKETS:10012,2023-08-16 07:25:00,1901.14,1901.74,1901.09,1901.44,366.0
IC MARKETS:10012,2023-08-16 07:30:00,1901.49,1903.24,1901.09,1903.19,328.0
IC MARKETS:10012,2023-08-16 07:35:00,1903.14,1903.99,1903.04,1903.64,374.0
IC MARKETS:10012,2023-08-16 07:40:00,1903.59,1904.39,1903.24,1903.59,354.0
IC MARKETS:10012,2023-08-16 07:45:00,1903.69,1904.64,1903.69,1904.09,328.0
IC MARKETS:10012,2023-08-16 07:50:00,1904.19,1904.29,1903.19,1903.49,352.0
IC MARKETS:10012,2023-08-16 07:55:00,1903.39,1903.69,1902.54,1902.59,322.0
IC MARKETS:10012,2023-08-16 08:00:00,1902.79,1903.69,1902.54,1903.69,396.0
IC MARKETS:10012,2023-08-16 08:05:00,1903.74,1903.84,1902.69,1903.49,358.0
IC MARKETS:10012,2023-08-16 08:10:00,1903.59,1904.04,1902.89,1903.69,346.0
IC MARKETS:10012,2023-08-16 08:15:00,1903.74,1904.59,1903.04,1903.19,274.0
IC MARKETS:10012,2023-08-16 08:20:00,1903.29,1904.69,1903.29,1904.29,232.0
IC MARKETS:10012,2023-08-16 08:25:00,1904.39,1905.74,1904.29,1905.09,258.0
IC MARKETS:10012,2023-08-16 08:30:00,1905.14,1906.09,1904.44,1904.49,322.0
IC MARKETS:10012,2023-08-16 08:35:00,1904.39,1904.44,1902.54,1903.49,310.0
IC MARKETS:10012,2023-08-16 08:40:00,1903.54,1904.59,1903.19,1903.89,230.0
IC MARKETS:10012,2023-08-16 08:45:00,1903.79,1904.49,1903.29,1903.29,292.0
IC MARKETS:10012,2023-08-16 08:50:00,1903.39,1903.99,1902.99,1903.94,210.0
IC MARKETS:10012,2023-08-16 08:55:00,1903.89,1904.09,1902.99,1903.39,188.0
IC MARKETS:10012,2023-08-16 09:00:00,1903.34,1903.89,1903.09,1903.69,190.0
IC MARKETS:10012,2023-08-16 09:05:00,1903.14,1903.59,1901.99,1903.49,272.0
IC MARKETS:10012,2023-08-16 09:10:00,1903.59,1903.69,1902.14,1902.24,216.0
IC MARKETS:10012,2023-08-16 09:15:00,1902.19,1902.19,1900.14,1900.49,308.0
IC MARKETS:10012,2023-08-16 09:20:00,1900.34,1900.94,1898.89,1899.79,344.0
IC MARKETS:10012,2023-08-16 09:25:00,1899.69,1900.49,1899.39,1900.19,266.0
IC MARKETS:10012,2023-08-16 09:30:00,1900.39,1901.19,1900.39,1900.89,258.0
IC MARKETS:10012,2023-08-16 09:35:00,1900.79,1900.99,1899.19,1899.24,230.0
IC MARKETS:10012,2023-08-16 09:40:00,1899.19,1899.49,1897.64,1897.74,328.0
IC MARKETS:10012,2023-08-16 09:45:00,1897.79,1898.59,1897.39,1898.19,302.0
IC MARKETS:10012,2023-08-16 09:50:00,1898.09,1898.39,1897.19,1898.39,220.0
IC MARKETS:10012,2023-08-16 09:55:00,1898.59,1898.89,1897.84,1898.59,218.0
IC MARKETS:10012,2023-08-16 10:00:00,1898.69,1898.89,1897.59,1898.49,222.0
